"translation","text","partOfSpeech"
более,more,adverb
хотя,although,conjunction
всегда,always,adverb
второй,second,ordinal number
куда,where,adverb
пойти,go,verb
стол,table,noun
ребёнок,kid,noun
увидеть,to see,verb
сила,strength,noun
отец,father (see #918),noun
женщина,woman,noun
машина,car,noun
случай,"case, occasion, incident",noun
ночь,night,noun
сразу,"at once, right away, just",adverb
мир,world,noun
совсем,entirely,adverb
остаться,stay,verb
об,"about, of (see #34)",preposition
вид,"appearance, look, view",noun
выйти,"to go out, come out, appear",verb
дать,to give,verb
работать,to work,verb
любить,to love,verb
старый,old,adjective
почти,almost,adverb
ряд,row,noun
оказаться,turn out,verb
начало,beginning,noun
твой,"your, yours (informal)",pronoun
вопрос,"question, matter, problem",noun
много,"many, much (see #799)",adverb
война,war,noun
снова,again,adverb
ответить,"to answer, reply (see #404)",verb
между,"between, among",preposition
подумать,to think,verb
опять,again,adverb
белый,white,adjective
деньги,money,noun
значить,"to mean,  signify",verb
про,"about, for",preposition
лишь,"only, as soon as","adverb, conj"
минута,"minute, moment",noun
жена,wife,noun
посмотреть,"to take a look, watch, inspect",verb
правда,truth,noun
главный,"main, chief",adjective
страна,country,noun
свет,light;world,noun
ждать,to wait,verb
мать,mother,noun
будто,"as if, as though",conjunction
никогда,never,adverb
товарищ,"comrade, friend",noun
дорога,"road, way, journey",noun
однако,"however, though","conj,  misc"
лежать,"to lie, be situated",verb
именно,"namely, just",misc
окно,"window, windowsill",noun
никакой,"no, none",pronoun
найти,"to find, discover, consider",verb
писать,to write,verb
комната,a room,noun
Москва,Moscow,noun
часть,"part, share, department",noun
вообще,"in general, altogether, on the whole",adverb
книга,a book,noun
маленький,"small, little",adjective
улица,"street; masterrussian, dot com",noun
решить,"to decide, solve",verb
далекий,"distant, remote",adjective
душа,"soul, spirit",noun
чуть,"hardly, slightly",adverb
вернуться,to return,verb
утро,morning,noun
некоторый,some,pronoun
считать,"to count, consider",verb
сколько,"how much, how many",cardinal
помнить,to remember,verb
вечер,evening,noun
пол,floor; sex,noun
таки,after all,particle
получить,"to receive, get, obtain",verb
народ,"people, nation",noun
плечо,"shoulder, upper arm",noun
хоть,"even, if you want, though",conjunction
сегодня,today,adverb
бог,god,noun
вместе,together,adverb
взгляд,"look, glance; view",noun
ходить,"to go, walk",verb
зачем,"what for, why",adverb
советский,Soviet,adjective
русский,Russian,adjective
бывать,"be, visit, happen",verb
полный,"full, complete",adj
прийти,"to come, arrive (see #464)",verb
палец,"finger, toe",noun
Россия,Russia,noun
любой,"any, every",pronoun
история,"history, story, event",noun
наконец,"at last, finally",adverb
мысль,"thought, idea",noun
узнать,"to know, learn, recognize",verb
назад,"back, backwards",adverb
общий,"general, common",adjective
заметить,"to notice, observe",verb
словно,"as if, like",conjunction
прошлый,past,adjective
уйти,"to leave, go away",verb
известный,"well-known, famous",adjective
давно,long ago,adverb
слышать,to hear,verb
слушать,"to listen, hear",verb
бояться,"to be afraid, fear",verb
сын,son,noun
нельзя,"it is impossible, can't",predicate
прямо,"straight, frankly",adverb
долго,for a long time,adverb
быстро,"fast, quickly",adverb
лес,forest,noun
похожий,"similar, alike",adjective
пора,time; pore (see #1000),noun
пять,five,cardinal number
глядеть,"to look,  gaze",verb
оно,it,pronoun
сесть,to sit,verb
имя,name,noun
ж,"and, as for, but (see #27)",misc
разговор,"talk, conversation",noun
тело,body,noun
молодой,young (see #679); bridegroom (as a noun),adjective
стена,wall,noun
красный,red,adjective
читать,to read,verb
право,right,noun